Date,Value_ETH,DATE_PARTITION
2026-04-28,27000,1
2026-04-28,27000,2
2026-04-28,23400,3
2026-04-28,19800,4
2026-04-28,16435.79,5
2026-04-29,114325.5,1
2026-04-29,79000,2
2026-04-29,56253.83,3
2026-04-29,38934.86,4
2026-04-29,25200,5
2026-04-30,32400,1
2026-04-30,30600,2
2026-04-30,30600,3
2026-04-30,28800,4
2026-04-30,24997.1,5
2026-05-01,39600,1
2026-05-01,32400,2
2026-05-01,28800,3
2026-05-01,28800,4
2026-05-01,25000,5
2026-05-02,15000,1
2026-05-02,15000,2
2026-05-02,12680.98,3
2026-05-02,12218.47,4
2026-05-02,11831.97,5
2026-05-03,12144.76,1
2026-05-03,11894.81,2
2026-05-03,6776,3
2026-05-03,6667.32,4
2026-05-03,6589.56,5
2026-05-04,48600,1
2026-05-04,39600,2
2026-05-04,28800,3
2026-05-04,28800,4
2026-05-04,23400,5
2026-05-05,75128.06,1
2026-05-05,58853.53,2
2026-05-05,39600,3
2026-05-05,29999.98,4
2026-05-05,24960,5
2026-05-06,166022.94,1
2026-05-06,165021.94,2
2026-05-06,40000,3
2026-05-06,31871,4
2026-05-06,17638.48,5
2026-05-07,32874.07,1
2026-05-07,30000,2
2026-05-07,30000,3
2026-05-07,30000,4
2026-05-07,27000,5
2026-05-08,78076.88,1
2026-05-08,78076.88,2
2026-05-08,43253.43,3
2026-05-08,27431.38,4
2026-05-08,27431.38,5
2026-05-09,78159.51,1
2026-05-09,68159.51,2
2026-05-09,52169.13,3
2026-05-09,30000.1,4
2026-05-09,30000.01,5
2026-05-10,350883.04,1
2026-05-10,225627.45,2
2026-05-10,70330,3
2026-05-10,56970.58,4
2026-05-10,48597.41,5
2026-05-11,40000,1
2026-05-11,31954.28,2
2026-05-11,30400.75,3
2026-05-11,25756.73,4
2026-05-11,25756.73,5
2026-05-12,33196.61,1
2026-05-12,20276.71,2
2026-05-12,19696.85,3
2026-05-12,14197.62,4
2026-05-12,13967.14,5
2026-05-13,40000,1
2026-05-13,28297.03,2
2026-05-13,28297.03,3
2026-05-13,26000,4
2026-05-13,25000,5
2026-05-14,32256.26,1
2026-05-14,31712,2
2026-05-14,25053.05,3
2026-05-14,17528.47,4
2026-05-14,17487.06,5
2026-05-15,45000,1
2026-05-15,25200,2
2026-05-15,25200,3
2026-05-15,25000,4
2026-05-15,24999.99,5
2026-05-16,20348,1
2026-05-16,20257,2
2026-05-16,17298.01,3
2026-05-16,17296.49,4
2026-05-16,16560.82,5
2026-05-17,16804.48,1
2026-05-17,12000,2
2026-05-17,12000,3
2026-05-17,7645,4
2026-05-17,7645,5
2026-05-18,25656.02,1
2026-05-18,25656,2
2026-05-18,23133.35,3
2026-05-18,20000,4
2026-05-18,19105.62,5
2026-05-19,28345,1
2026-05-19,28344.79,2
2026-05-19,28344.79,3
2026-05-19,20249.81,4
2026-05-19,20249.81,5
2026-05-20,28081.39,1
2026-05-20,19204.73,2
2026-05-20,18118,3
2026-05-20,18118,4
2026-05-20,18062.25,5
2026-05-21,25000,1
2026-05-21,16595.79,2
2026-05-21,15000,3
2026-05-21,14301.54,4
2026-05-21,13917.23,5
2026-05-22,35000,1
2026-05-22,25754.5,2
2026-05-22,24999.9,3
2026-05-22,20000,4
2026-05-22,18834.67,5
2026-05-23,142381.77,1
2026-05-23,65631.93,2
2026-05-23,50783.37,3
2026-05-23,33996.27,4
2026-05-23,26259,5
2026-05-24,19873.09,1
2026-05-24,15602.38,2
2026-05-24,14395.46,3
2026-05-24,13440.29,4
2026-05-24,10974.44,5
2026-05-25,54400,1
2026-05-25,50655.89,2
2026-05-25,15000,3
2026-05-25,15000,4
2026-05-25,15000,5
2026-05-26,41358.73,1
2026-05-26,25000,2
2026-05-26,21000,3
2026-05-26,20710.57,4
2026-05-26,20000,5
2026-05-27,22067.63,1
2026-05-27,21770.35,2
2026-05-27,21280,3
2026-05-27,21280,4
2026-05-27,19888.69,5
