DATE,Total_transaction,Total_value,Avg_gas_price_wie
2026-05-27,2164725,1523455.99,7160124.0
2026-05-26,2367627,1271449.7,6617808.0
2026-05-25,2217108,1074717.04,5803350.0
2026-05-24,2538521,647756.41,4461388.0
2026-05-23,2673568,1495223.04,4594394.0
2026-05-22,2311203,1441915.52,6143747.0
2026-05-21,2320690,1218459.62,6410868.0
2026-05-20,2086396,1210855.7,9414849.0
2026-05-19,1932741,1479615.01,7685583.0
2026-05-18,1824281,1840464.43,9479336.0
2026-05-17,1960969,611310.69,6778584.0
2026-05-16,1972251,824147.71,10987258.0
2026-05-15,1788096,1900931.96,18944744.0
2026-05-14,1969580,1507129.68,11556261.0
2026-05-13,2313802,1769370.85,9877745.0
2026-05-12,1966401,1586960.8,15321356.0
2026-05-11,1954445,1403592.48,20324682.0
2026-05-10,1782298,1584920.51,12085015.0
2026-05-09,1843847,1015112.95,8908161.0
2026-05-08,1822874,1787641.92,24124248.0
2026-05-07,1950229,1855809.69,18750887.0
2026-05-06,2018650,2061236.3,13916360.0
2026-05-05,2001403,1586672.72,9448148.0
2026-05-04,2138093,1763486.82,13849585.0
2026-05-03,2480596,545363.82,6826169.0
2026-05-02,3170691,453325.88,6286157.0
2026-05-01,2896417,1526195.62,9828689.0
2026-04-30,3197359,1653768.75,17899239.0
2026-04-29,3241629,1939729.73,17233381.0
2026-04-28,1278217,482651.3,27704839.0
