Date,AVG_GAS_PRICE,MOVING_AVG
2026-04-30,2192871317.57,2192871317.57
2026-05-01,982868850.84,1587870084.2050002
2026-05-02,628615714.17,1268118627.5266666
2026-05-03,682616930.11,1121743203.1725001
2026-05-04,1384958475.7,1174386257.678
2026-05-05,944814803.44,1136124348.6383333
2026-05-06,1391636038.85,1172626018.6685715
2026-05-07,1875088723.01,1127228505.16
2026-05-08,2412424796.84,1331450783.16
2026-05-09,890816096.36,1368907980.6157143
2026-05-10,1208501452.8,1444034341.0
2026-05-11,2032468249.96,1536535737.3228571
2026-05-12,1532135569.08,1620438703.8428571
2026-05-13,987774539.71,1562744203.9657142
2026-05-14,1155626116.32,1459963831.5814285
2026-05-15,1894474447.11,1385970924.4771428
2026-05-16,1098725753.14,1415672304.0171428
2026-05-17,677858437.19,1339866158.93
2026-05-18,947933591.21,1184932636.2514286
2026-05-19,768558262.3,1075850163.8542857
2026-05-20,941484893.22,1069237357.2128571
2026-05-21,641086785.06,995731738.46142852
2026-05-22,614374725.59,812860349.67285717
2026-05-23,459439385.18,721533725.67857146
2026-05-24,446138757.24,688430914.2571429
2026-05-25,580334996.75,635916829.33428574
2026-05-26,661780784.74,620662903.96857142
2026-05-27,716012365.1,588452542.80857146
2026-05-28,1017520606.16,642228802.96571434
