from_address,Total_value,Wallet_Tier
0x928e41f26050efbc128b3597c1731dbcff14aba1,0.5,Fish
0xa49e717f7c6311ef32c5ec91bff49522ace5c55a,7.16,Fish
0x4c001fc551628db875e900109ff8ab4334f217f7,4.65,Fish
0x5839ee3f70d5687a606943cfbb3d536e75124a1d,0.59,Fish
0xc6a6a83a681d5efa2ec3bf6f9e60e7e4701113bd,2.46,Fish
0x8e76bfd516dba9aeeaf8041d38edf57c30fcb7e4,0.64,Fish
0xcbe1160f1bf27d30c8aa1865be8cbedf1fda6601,1.37,Fish
0xd77f5124113c04dfa6dbff486546d3682b32a0c9,0.24,Fish
0x8b328ac72056f7878701bbeb70fdf8ff5205a1c0,0.76,Fish
0x82f1962f1c703c94caee9a2f80b86c6e77630680,0.36,Fish
0xba4ec126b0f354f4a796df7c6df932a77c0463d7,13.25,Fish
0xfb8b13015fb9bece40796be8ccc0f71a4565e275,1.82,Fish
0xe070fb1714dc3f36b60e271de4a8beac44a3bf58,0.27,Fish
0xd6f9b53b9401e9e3e45dc1564701c72f01d8bf9a,9.37,Fish
0xaa86a067fa1ac5bbf9653474b5996e36f05b8cf8,0.92,Fish
0xd8cd32ab2c09172ce549de14513a28d4b6a9a54e,2.22,Fish
0x25b869f0176fb8bf0137782f30037ee4efe7a20c,2.42,Fish
0x6cb5ee0270d405ccee26b9b45629df80148dbe92,45.22,Fish
0x4d521577f820525964c392352bb220482f1aa63b,14.78,Fish
0x24524d43eb5fdb3e5e886e64e8baa729d17c0afb,0.2,Fish
0x810c0a90442c8c20a18412caf1f4f4a1f24f3041,0.44,Fish
0x775238c070946238ce2fb650a87f129024c27e36,0.42,Fish
0x1affe7980b2bb8ad165385b4e7cb336084411eed,283.78,Shark
0x1b19e15d0a761a3cf0cada718db1cd97bcde6c83,0.41,Fish
0x17bf856c947efcd75b21c58005e64469c4969954,0.45,Fish
0x4373d73485883acd8b45d46d3b4a8c0181a14371,3.3,Fish
0xb81b3f7971e7f00992d9de6abff77cae69adce3a,2.02,Fish
0xb7b5946e42ec4243d4210f1dfd8ebec3bcd1a273,99.25,Fish
0x8d910779211f12e7f109792cafe0a98185982db3,7.37,Fish
0x1ac6f70a34e5a0f5a1f7c63e67aca5114e54c756,1.92,Fish
0xb27a66324fed0a926e7693b4a3b7d59cf33bb948,1.71,Fish
0xbc281aa02a4691d4fb1efde476586b8b4a711d68,1.91,Fish
0x2703f7184a0409d9954c304d16831aa3452ec048,0.55,Fish
0x15115102b7660926a23d1e2e4b28b07d9559669d,3.45,Fish
0xc5492551d8ee3940457be654fb5e514f0afe85a8,0.12,Fish
0x2a7d1589ffdd21252229cf93f5982e0de2d17285,2.6,Fish
0x18449d4337d5aff5fa2861057cf7d3260bf39bb8,0.14,Fish
0x675dc7785db36f3c4ebc641c7254e55330426695,3.46,Fish
0x0b03f88976ed48ef89af24a1cb4f5fc8c6b00649,0.36,Fish
0x2b6aed5bcd98cdd8e6b035cd4b0806b5c5147b6e,0.13,Fish
0x3b6af60706a62a5084b66fa9fbfd3138527e8c3d,15.55,Fish
0x6b100d45afa078f5baba7849562780896b051cc6,5.71,Fish
0xe3e28b93d1895423f9772a8d489956ec98c8c1ef,0.42,Fish
0x390ee9c2455838d1718a02a80eba9a63059268cc,27.55,Fish
0xaf5ba992d0380afa363732ce8186ae647c6d851d,0.15,Fish
0x291329b53854deb85c091eef9ddc5e69a6d00873,2.01,Fish
0xd3f1a69e5fd94dc95804a874a814a7878ec01e8f,8.95,Fish
0xede0df61313246a214a90707014ce77c36ac252d,9.53,Fish
0x56da181a171e6ccd4148e26ca9cfe0a44edac809,0.2,Fish
0x68e523302f22abb537b1c8b5674d0f624ef3cfa2,4.42,Fish
0xc3c7b0b71bbbf9b19555debe46726895ccec8855,6.65,Fish
0xf2eadba9d834ececa12b618ff6ac68f4aee805e0,6.84,Fish
0x787986e916c1a0c5ebf84f7f170d46e2018dad55,0.29,Fish
0x5203dea41736e3f9d0d8be497954c38ec8d0e1f7,2.88,Fish
0x331a3b7f3d26259436672b0db276d132b3b464ec,49.24,Fish
0xa1f763f5e5d88cb4976f4afdb90d3482d91a75de,0.13,Fish
0xf11a3703226a02825f23a02c1b3663be8fc46060,3.1,Fish
0x711d5f5ebd6adc28bd87f0256d9c154a6218c12f,1.2,Fish
0xe63d235f57d1104baeb070b74a8e3c72c6ae238b,2.67,Fish
0x04624c07e901e977daf6611a4a6724a00b5eb994,5.31,Fish
0x6e9bb993e3f0edb59ac668498c0950f5b69c2839,0.12,Fish
0x6e900a91e7d4cba16d341b15440eb6133f84ad2e,4.68,Fish
0xb2eac47ba000c61d26bb5d306f8b9d0dff262fc0,1.51,Fish
0x21a6d7c9a5c5792f2743ee989324439880713ed7,0.87,Fish
0x8324548d7dec65670dd8886361a5c433562931b3,0.49,Fish
0x19dd9425fc3bff996d0eb3f21afb457c467d1882,0.12,Fish
